ticket_name,ticket_cost,ticket width,ticket height,,,,,
MI Jackpot,50,100,280,,,,,
start x,start  y,w,h,o,scratchGroup,r,c,id
9,50,13,20,top row,3,0,1,1
27,50,13,20,top row,3,0,2,2
46,50,13,20,top row,3,0,3,3
64,50,13,20,top row,3,0,4,4
82,50,13,20,top row,3,0,5,5
10,81,14,10,winning #s,0,1,1,6
24,81,14,10,winning #s,0,1,2,7
38,81,14,10,winning #s,0,1,3,8
52,81,14,10,winning #s,0,1,4,9
66,81,14,10,winning #s,0,1,5,10
80,81,14,10,winning #s,0,1,6,11
10,94,17,8,50 chances #,1p,2,1,12
10,102,17,8,50 chances $,2f,3,1,13
27,94,17,8,50 chances #,1p,2,2,14
26,102,17,8,50 chances $,2f,3,2,15
44,94,17,8,50 chances #,1p,2,3,16
43,102,17,8,50 chances $,2f,3,3,17
61,94,17,8,50 chances #,1p,2,4,18
60,102,17,8,50 chances $,2f,3,4,19
78,94,17,8,50 chances #,1p,2,5,20
77,102,17,8,50 chances $,2f,3,5,21
10,110,17,8,50 chances #,1p,4,1,22
10,119,17,8,50 chances $,2f,5,1,23
27,110,17,8,50 chances #,1p,4,2,24
26,119,17,8,50 chances $,2f,5,2,25
44,110,17,8,50 chances #,1p,4,3,26
43,119,17,8,50 chances $,2f,5,3,27
61,110,17,8,50 chances #,1p,4,4,28
60,119,17,8,50 chances $,2f,5,4,29
78,110,17,8,50 chances #,1p,4,5,30
77,119,17,8,50 chances $,2f,5,5,31
10,128,17,8,50 chances #,1p,6,1,32
10,136,17,8,50 chances $,2f,7,1,33
27,128,17,8,50 chances #,1p,6,2,34
26,136,17,8,50 chances $,2f,7,2,35
44,128,17,8,50 chances #,1p,6,3,36
43,136,17,8,50 chances $,2f,7,3,37
61,128,17,8,50 chances #,1p,6,4,38
60,136,17,8,50 chances $,2f,7,4,39
78,128,17,8,50 chances #,1p,6,5,40
77,136,17,8,50 chances $,2f,7,5,41
10,144,17,8,50 chances #,1p,8,1,42
10,153,17,8,50 chances $,2f,9,1,43
27,144,17,8,50 chances #,1p,8,2,44
26,153,17,8,50 chances $,2f,9,2,45
44,144,17,8,50 chances #,1p,8,3,46
43,153,17,8,50 chances $,2f,9,3,47
61,144,17,8,50 chances #,1p,8,4,48
60,153,17,8,50 chances $,2f,9,4,49
78,144,17,8,50 chances #,1p,8,5,50
77,153,17,8,50 chances $,2f,9,5,51
10,161,17,8,50 chances #,1p,10,1,52
10,170,17,8,50 chances $,2f,11,1,53
27,161,17,8,50 chances #,1p,10,2,54
26,170,17,8,50 chances $,2f,11,2,55
44,161,17,8,50 chances #,1p,10,3,56
43,170,17,8,50 chances $,2f,11,3,57
61,161,17,8,50 chances #,1p,10,4,58
60,170,17,8,50 chances $,2f,11,4,59
78,161,17,8,50 chances #,1p,10,5,60
77,170,17,8,50 chances $,2f,11,5,61
10,178,17,8,50 chances #,1p,12,1,62
10,187,17,8,50 chances $,2f,13,1,63
27,178,17,8,50 chances #,1p,12,2,64
26,187,17,8,50 chances $,2f,13,2,65
44,178,17,8,50 chances #,1p,12,3,66
43,187,17,8,50 chances $,2f,13,3,67
61,178,17,8,50 chances #,1p,12,4,68
60,187,17,8,50 chances $,2f,13,4,69
78,178,17,8,50 chances #,1p,12,5,70
77,187,17,8,50 chances $,2f,13,5,71
10,196,17,8,50 chances #,1p,14,1,72
10,204,17,8,50 chances $,2f,15,1,73
27,196,17,8,50 chances #,1p,14,2,74
26,204,17,8,50 chances $,2f,15,2,75
44,196,17,8,50 chances #,1p,14,3,76
43,204,17,8,50 chances $,2f,15,3,77
61,196,17,8,50 chances #,1p,14,4,78
60,204,17,8,50 chances $,2f,15,4,79
78,196,17,8,50 chances #,1p,14,5,80
77,204,17,8,50 chances $,2f,15,5,81
10,213,17,8,50 chances #,1p,16,1,82
10,220,17,8,50 chances $,2f,17,1,83
27,213,17,8,50 chances #,1p,16,2,84
26,220,17,8,50 chances $,2f,17,2,85
44,213,17,8,50 chances #,1p,16,3,86
43,220,17,8,50 chances $,2f,17,3,87
61,213,17,8,50 chances #,1p,16,4,88
60,220,17,8,50 chances $,2f,17,4,89
78,213,17,8,50 chances #,1p,16,5,90
77,220,17,8,50 chances $,2f,17,5,91
10,229,17,8,50 chances #,1p,18,1,92
10,237,17,8,50 chances $,2f,19,1,93
27,229,17,8,50 chances #,1p,18,2,94
26,237,17,8,50 chances $,2f,19,2,95
44,229,17,8,50 chances #,1p,18,3,96
43,237,17,8,50 chances $,2f,19,3,97
61,229,17,8,50 chances #,1p,18,4,98
60,237,17,8,50 chances $,2f,19,4,99
78,229,17,8,50 chances #,1p,18,5,100
77,237,17,8,50 chances $,2f,19,5,101
